radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
119.204795,0.625,-26.3629,0.45,2,15.502,0.024,16.603,0.022,16.025,0.072,15.186,0.043,14.721,0.117
119.204863,0.718,-25.559947,0.426,2,15.021,0.035,15.314,0.028,15.071,0,14.978,0.039,15.157,-0
119.205021,0.61,-25.774112,0.482,2,16.072,-0,16.787,-0.081,16.435,-0,15.854,-0,15.467,-0
119.205454,0.427,-26.176056,0.456,2,15.453,0.018,16.135,0.008,15.747,0.012,15.337,0.085,15.145,0.059
119.206028,0.294,-26.225957,0.087,2,13.323,0,13.653,0,13.43,0.021,13.3,0.014,13.331,0.034
119.206177,1.035,-25.591645,0.505,2,13.927,-0,14.982,-0.022,NA,NA,NA,NA,13.196,0.197
119.206302,0.237,-25.541916,0.187,2,14.712,0.047,15.497,0.016,15.046,0.006,14.472,0.085,14.184,0.058
119.206318,0.79,-25.992242,1.366,2,16.478,-0,17.786,-0.186,16.881,-0,16.269,-0,NA,NA
119.206376,0.127,-25.596944,0.053,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.206778,0.891,-25.576863,0.312,2,13.855,0.012,14.031,0,13.853,0.026,13.895,0.016,14.048,-0
119.206819,0.626,-25.724759,0.669,2,16.234,-0,16.946,-0.098,16.651,0.145,15.972,0.008,NA,NA
119.207138,0.674,-25.635161,0.504,2,15.03,0.028,15.268,0.017,15.05,-0,14.99,-0,15.124,-0
119.207358,0.145,-26.260074,0.118,2,13.278,0.012,13.546,0.017,13.333,0.017,13.304,0.026,13.364,0.079
119.207735,0.588,-26.094922,0.332,2,15.345,0.021,16.024,0.023,15.636,0.066,15.159,0,15.03,-0
119.207735,0.818,-25.551776,0.473,2,15.459,0.056,16.009,0.072,15.669,0.012,15.281,0.108,15.042,-0
119.208431,0.459,-25.498851,0.61,2,15.144,0.058,15.656,0.01,15.32,0.02,15.063,0.005,14.836,0.064
119.208917,0.22,-26.059095,0.068,2,14.413,0.008,15.186,0.015,14.741,0.021,14.174,0.008,14.031,0.075
119.210981,0.588,-25.559083,0.578,2,15.171,0.021,15.433,0.006,15.234,-0,14.999,-0,NA,NA
119.211159,0.299,-26.307624,0.441,2,14.552,0.037,15.117,0.058,14.807,0.02,14.438,0.03,14.313,0.016
119.211179,0.152,-25.680599,0.295,2,13.861,0.017,14.341,0,14.059,0.019,13.721,0.008,13.617,0.024
119.211543,0.411,-26.028365,0.698,2,15.195,0.025,16.901,0.075,16.061,0,14.563,0.016,13.857,0.109
119.211634,0.588,-25.666708,0.468,2,13.813,0.032,14.612,0.046,14.166,0,13.583,0.023,13.441,0.074
119.211669,0.592,-26.004359,0.376,2,14.699,0.021,15.331,0.026,14.971,0.016,14.549,0.047,14.473,0.122
119.211973,0.447,-26.122616,0.588,2,15.595,0.043,16.306,0.019,15.858,0.059,15.423,0.037,15.329,0.216
119.212295,0.454,-25.509047,0.202,2,15.225,0.006,15.892,0.019,15.531,0.006,14.998,0.09,14.921,0.065
119.212565,0.744,-25.940659,0.957,2,15.83,0.023,16.771,0.008,16.341,0.092,15.588,0.006,15.121,0.094
119.212601,0.533,-26.316125,0.549,2,14.691,0.029,16.295,0.008,15.433,0,14.14,0.015,13.49,0
119.213192,0.478,-26.076299,0.417,2,14.729,0.008,15.155,0.014,14.886,0.021,14.644,0.038,NA,NA
119.213852,0.217,-26.223543,0.099,2,12.849,0.008,13.263,0.006,12.994,0.012,12.763,0.021,12.699,0.094
119.214179,0.323,-25.550173,0.303,2,13.707,0,14.906,0,14.254,0.018,13.234,0.014,12.854,0.078
119.214625,0.478,-26.410907,0.415,2,15.682,-0,16.461,0.026,NA,NA,NA,NA,NA,NA
119.214661,1.326,-25.827414,0.345,2,15.507,0.133,16.083,0.022,NA,NA,NA,NA,NA,NA
119.214666,1.182,-26.106397,0.372,2,14.611,0.02,14.912,0.029,14.713,0.006,14.609,0.073,14.676,0.189
119.214863,0.487,-25.893227,0.604,2,15.392,0.008,16.487,0.052,15.949,0.014,15.081,0,14.61,0.031
119.2151,0.521,-26.175117,0.316,2,15.083,0.05,16.574,0.017,15.798,0.034,14.546,0.015,14.028,0.054
119.215174,0.095,-25.984702,0.099,2,12.453,0.01,12.782,0.006,12.553,0.006,12.426,0.015,12.442,0.062
119.215377,0.048,-25.728618,0.068,2,12.877,0.008,13.266,0,13.021,0.021,12.788,0.01,12.738,0.047
