radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,BV
142.88475,0.233,-49.721247,0.289,5,12.955,0.036,13.776,0.023,0.821
142.696787,0.213,-49.863444,0.384,5,12.958,0.038,13.79,0.031,0.832
143.233704,0.343,-49.969743,0.208,6,12.963,0.005,13.593,0.042,0.63
142.940864,0.257,-49.992829,0.218,5,12.964,0.036,13.566,0.034,0.602
143.479186,0.293,-50.33353,0.584,6,12.974,0.032,13.602,0.048,0.628
142.377204,0.443,-50.298886,0.65,5,12.976,0.033,14.1,0.04,1.124
142.809085,0.18,-50.004949,0.232,5,12.977,0.032,13.561,0.033,0.584
142.264252,0.301,-50.413362,1.017,5,12.991,0.01,13.537,0.031,0.546
143.456391,0.224,-50.052484,0.663,6,13.005,0.04,13.641,0.032,0.636
143.364251,0.392,-49.940042,0.232,6,13.006,0.021,13.566,0.03,0.56
143.394767,0.44,-50.301002,0.862,6,13.009,0,15.163,0,2.154
143.159562,0.42,-50.166507,0.35,7,13.01,0.025,13.73,0.041,0.72
143.578797,0.619,-50.465755,1.115,6,13.01,0.023,13.596,0.046,0.586
143.280329,0.58,-50.532649,0.581,6,13.021,0.05,13.715,0.037,0.694
143.153711,0.451,-50.669333,0.631,6,13.025,0.081,13.785,0.052,0.76
143.199574,0.416,-50.466871,0.842,6,13.025,0.027,13.805,0.064,0.78
142.654809,0.361,-50.478533,0.905,5,13.029,0.04,13.655,0.026,0.626
142.778342,0.492,-50.331408,0.692,5,13.045,0.049,15.461,0.073,2.416
142.595682,0.472,-49.951105,0.415,5,13.058,0.051,15.354,0.017,2.296
143.14482,0.51,-50.697263,0.537,7,13.059,0.074,13.688,0.029,0.629
143.318478,0.5,-50.553115,0.596,6,13.062,0.036,13.856,0.037,0.794
143.278047,0.307,-50.147705,0.257,6,13.064,0.021,13.604,0.036,0.54
143.442211,0.38,-50.343876,0.414,5,13.064,0.022,13.55,0.043,0.486
142.441906,0.319,-50.101392,0.19,5,13.065,0.028,13.971,0.043,0.906
142.669409,0.26,-50.545378,0.952,5,13.065,0.065,13.85,0.044,0.785
143.661344,0.333,-50.144254,0.605,6,13.077,0.019,14.539,0.041,1.462
143.617896,0.631,-50.107445,0.996,5,13.083,0.038,13.933,0.044,0.85
143.019059,0.408,-49.858591,0.144,6,13.092,0.046,14.03,0.034,0.938
143.584624,0.244,-49.971747,0.237,6,13.093,0.011,13.695,0.045,0.602
143.029011,0.367,-50.621936,0.743,5,13.094,0.048,14.11,0.013,1.016
143.114569,0.527,-50.675499,0.724,6,13.094,0.07,14.609,0.057,1.515
142.403087,0.268,-50.464827,0.887,5,13.101,0.028,14.247,0.009,1.146
142.601005,0.269,-50.158875,0.207,5,13.105,0.023,13.677,0.041,0.572
143.05182,0.405,-50.562347,0.772,6,13.107,0.068,14.917,0.043,1.81
143.418253,1.077,-50.057643,0.243,4,13.107,0,15.182,0,2.075
143.085164,0.299,-50.10647,0.214,7,13.113,0.029,13.69,0.034,0.577
143.112673,0.243,-49.822478,0.205,7,13.115,0.024,13.957,0.048,0.842
142.266218,0.192,-50.345948,0.665,5,13.117,0.033,14.382,0.016,1.265
142.720575,0.241,-49.937249,0.199,5,13.117,0.03,14.632,0.043,1.515
142.740338,0.421,-50.266636,0.689,4,13.119,0.022,14.349,0.046,1.23
143.045808,0.279,-49.873237,0.165,7,13.128,0.05,14.912,0.066,1.784
143.441286,0.621,-50.440098,0.757,6,13.134,0.036,14.524,0.046,1.39
142.7552,0.331,-50.491775,0.91,5,13.153,0.027,13.744,0.027,0.591
142.725705,0.47,-50.399286,0.519,5,13.155,0.042,13.862,0.04,0.707
142.80849,0.172,-50.222689,0.242,5,13.162,0.039,14.756,0.042,1.594
143.049991,0.261,-50.150856,0.179,7,13.171,0.036,14.486,0.058,1.315
143.503577,0.475,-49.999622,0.409,6,13.177,0.033,13.929,0.045,0.752
142.995091,0.371,-50.632072,0.661,5,13.179,0.033,14.036,0.022,0.857
143.357175,0.596,-50.474344,0.729,6,13.179,0.044,14.101,0.03,0.922
143.504923,0.273,-50.019221,0.296,6,13.181,0.014,13.832,0.05,0.651
142.810594,0.339,-50.541313,0.74,5,13.192,0.03,13.729,0.014,0.537
143.39358,0.349,-49.86509,0.259,6,13.196,0.015,13.762,0.046,0.566
143.523917,0.226,-49.916103,0.304,6,13.196,0.009,14.628,0.036,1.432
143.451238,0.627,-50.578436,0.564,6,13.203,0.051,14.651,0.029,1.448
142.527514,0.077,-49.885647,0.634,2,13.21,0,15.2,0,1.99
142.837217,0.131,-50.690056,0.464,4,13.212,0.035,14,0.02,0.788
143.293919,0.56,-50.53077,0.904,6,13.214,0.11,13.691,0.085,0.477
143.293621,0.324,-49.973133,0.251,6,13.22,0.02,13.746,0.059,0.526
143.204203,0.37,-50.278503,0.426,6,13.224,0.025,13.973,0.049,0.749
143.126045,0.373,-50.210146,0.248,7,13.239,0.025,13.941,0.041,0.702
143.136498,0.507,-50.536689,0.782,7,13.245,0.057,13.819,0.047,0.574
143.138008,0.342,-50.218978,0.174,7,13.246,0.029,13.958,0.046,0.712
142.813236,0.15,-50.587905,0.708,4,13.247,0.034,13.95,0.023,0.703
143.609363,0.49,-50.308306,0.428,6,13.247,0.037,13.784,0.055,0.537
143.605532,0.764,-50.473338,0.746,6,13.261,0.045,13.911,0.025,0.65
142.718316,0.163,-50.007811,0.319,5,13.262,0.039,14.08,0.017,0.818
143.467168,0.256,-49.929093,0.261,6,13.286,0.014,13.849,0.05,0.563
143.324212,0.393,-50.295109,0.481,6,13.287,0.036,13.9,0.038,0.613
142.48508,0.387,-50.111531,0.247,5,13.306,0.032,14.258,0.034,0.952
142.826141,0.146,-50.642066,0.595,4,13.306,0.033,13.948,0.016,0.642
143.286293,0.537,-50.591549,1.397,4,13.306,0.046,13.934,0.034,0.628
142.93749,0.216,-50.003747,0.364,5,13.307,0.048,14.119,0.036,0.812
142.577391,0.191,-49.816939,0.233,5,13.317,0.017,14.209,0.026,0.892
142.859689,0.265,-50.120656,0.287,5,13.325,0.032,14.455,0.057,1.13
143.35414,0.57,-50.576058,0.724,6,13.327,0.049,14.143,0.041,0.816
143.473561,0.304,-50.238066,0.201,6,13.328,0.012,14.826,0.039,1.498
142.304496,0.276,-50.389978,0.744,5,13.33,0.028,15.201,0.036,1.871
143.231002,0.423,-50.364502,0.609,5,13.333,0.025,15.452,0.025,2.119
142.514173,0.258,-49.893337,0.353,5,13.337,0.039,14.933,0.027,1.596
143.569579,0.203,-50.145644,0.147,5,13.337,0.022,13.862,0.051,0.525
143.283174,0.408,-49.873053,0.181,6,13.338,0.016,13.971,0.047,0.633
143.516193,0.801,-50.200315,0.669,5,13.339,0.055,14.296,0.083,0.957
143.314633,0.324,-49.909444,0.188,6,13.343,0.014,13.906,0.044,0.563
143.651887,0.524,-50.211163,0.987,4,13.343,0.047,14.491,0.124,1.148
143.290573,0.469,-50.436969,0.867,5,13.348,0.038,14.005,0.045,0.657
142.753224,0.251,-50.271614,0.636,5,13.349,0.016,14.111,0.036,0.762
142.699625,0.33,-50.148381,0.232,4,13.351,0.05,15.139,0.067,1.788
143.091779,0.337,-50.003072,0.247,7,13.359,0.04,14.088,0.042,0.729
